Only God Forgives

BILLY	... I love violence!
JENNA	I'll never testify against my own flesh and blood, Officer Chang. But he's a killer.
JENNA	... It pains me to say it, but my own son is a killer. He killed a cop back in England ten years ago. He's been on the run ever since. I say son... But he hasn't been a son to me.
JENNA	Not for a long time. Not since he killed that cop back home... That was ten years ago. He's been running ever since. And he'll never stop until he's caught. Until you catch him.
CHANG
HELLO	It's me... Did you change the guard? No.
NADEE	Someone else is out there now...
CHANG	Get out of the apartment...
NADEE	Hold on...
CHANG
NADEE	Kanita - go to your room.
NADEE	... go to your room now.
CHARLIE LING	Wait...
JULIAN	No way.
CHARLIE LING
SHE SAID--
JULIAN	Who said?
JULIAN	My mother?
JULIAN	What kind of a mother says that?
CHARLIE LING	If you've got a problem, talk to her.
JULIAN	No. We're not doing it.
CHARLIE LING	You don't have to. I will.
JULIAN	Only God forgives. And now mother - you will die...
GORDON	Easy...
JULIAN	Where's is she?
GORDON	She's gone... Picked up Billy's body... She's gone home.
GORDON	Didn't she tell you?
GORDON	You alright mate? D'you want something?
JULIAN	I'm so fucked...
GORDON	We're good mates aren't we?
JULIAN	... Yeah.
GORDON	I'm sorry about this Julian. I wish there was another way...
JULIAN	What did she say? What did she promise you?
GORDON	Don't make this harder--
GORDON	You've become a liability. You can see that, can't you?
GORDON	And now she wants me to take over. She wants me to be the favoured son. What am I supposed to say?
GORDON	I didn't want it to end like this. First I fuck your mother. Then I--
CO-WORKER	Mai. Some guy's out there asking for you.
CO-WORKER	Don't forget it's supposed to be my break next.
MAI	What happened to you?
JULIAN	I've got to get out of Bangkok. Didn't want to leave...
JULIAN	... without saying goodbye.
MAI	Who did this to you?
JULIAN	My mother... She made me what I am. And now I've got nothing. And they're after me.
MAI	Come with me...
MAI	...to Cambodia - we can hide there... You'll be safe there.
JULIAN	I got about twelve grand at the club... Should be enough to get us there. Set ourselves up. Disappear...
MAI	Now?
JULIAN	Right now.
MAI	Wait outside...
MAI	Let's go.
JULIAN	Stay here. If I'm not out in five minutes... Go.
MAI	Five minutes.
CHANG	Let's go.
CHANG	Get up.
CHANG	Get up. Now.
JULIAN	I'm sorry...
CHANG	Do you have anything to say?
JULIAN	Don't hurt her.
CHANG	Do you have anything to say?
JULIAN	I'm sorry...
CHANG	What do you expect me to do?
JULIAN	I don't know... I'm sorry.
CHANG	Come on.
CHANG	When you were born - what's the first thing you remember seeing?
CHANG	What do you remember?
JULIAN	Dark... Darkness.
CHANG	And do you ever see light?
JULIAN	No... Never.
CHANG	I am the Angel of Vengeance... I restore order and karma. I love all living things...
CHANG	...I want you to walk away from here now... Do you understand?
CHANG	Good.
CHANG	Go with God.
CHANG	Country roads, take me home to the place I belong West Virginia, mountain momma Take me home, country roads..
YESTERDAY
CHANG	Country roads, take me home to the place I belong West Virginia, mountain momma Take me home, country roads Take me home, country roads Take me home, country roads
